Data;plano_contas_id;cliente;uf;valor_recebido
2024-09-11;31;da Cunha Porto S/A;DF;13808.27
2024-03-09;31;Cunha;AP;35174.41
2024-06-29;22;Cunha S/A;RO;34639.76
2025-02-10;22;Fernandes;AP;41045.12
2023-08-05;12;Oliveira da Cruz S/A;PB;10900.7
2023-09-01;12;Azevedo Alves - ME;AP;37211.37
2024-01-26;11;Pereira;DF;19764.6
2024-03-12;32;Ribeiro e Filhos;RS;6937.94
2024-03-05;12;da Rosa - ME;AL;32461.86
2024-01-24;31;Souza Nascimento S.A.;SC;28993.08
2024-02-07;21;Teixeira Novaes - EI;MG;36476.06
2024-06-08;33;Moraes Duarte S.A.;GO;15898.01
2024-12-30;12;Teixeira;MS;49676.51
2023-08-25;32;Jesus;RR;2560.23
2024-10-17;21;Correia;PI;46521.08
2024-08-09;12;Peixoto;AC;39077.54
2025-01-11;33;Mendes S/A;RJ;47051.72
2024-03-29;21;Fernandes;PE;28640.41
2023-08-19;31;Ramos S.A.;MS;6562.78
2024-01-02;33;Ramos da Luz e Filhos;AC;37522.7
2024-01-13;22;Barbosa da Paz e Filhos;MA;1666.05
2025-02-19;11;Mendes S/A;SE;19259.65
2023-04-10;33;Caldeira - EI;SE;2359.74
2023-11-05;32;Dias;RJ;23867.75
2023-11-21;22;Jesus Duarte - EI;GO;20717.87
2023-12-01;33;Viana;BA;49151.4
2025-02-11;21;Melo Mendes - ME;AC;7139.45
2024-04-21;31;Fogaça - ME;MS;41939.79
2024-07-11;22;Jesus;SP;865.63
2024-05-12;12;Jesus;PR;48720.02
2025-02-20;31;da Rosa Castro S.A.;AM;49412.96
2023-06-07;33;Barros - EI;SE;4554.9
2024-03-05;33;Viana;GO;12421.9
2023-05-04;12;da Rocha Gonçalves S.A.;MA;43318.26
2024-08-27;12;Duarte Rocha - ME;AP;6045.39
2025-01-29;31;Monteiro;GO;13964.34
2024-04-06;21;Souza;AM;45495.33
2023-05-07;32;Barbosa;RR;15900.88
2024-02-20;11;da Mota;RN;15497.68
2023-06-11;22;da Mata S/A;RN;49331.85
2024-11-03;32;Araújo;RR;24428.67
2023-10-01;21;Gomes;SC;36057.45
2025-02-01;33;Costa Rodrigues S/A;TO;33659.81
2024-07-06;22;Nogueira;BA;11531.96
2025-03-11;12;Novaes;RS;24672.21
2023-11-05;11;Nogueira - ME;DF;45303.79
2023-12-22;33;Nascimento S/A;AL;7145.02
2024-05-06;12;da Costa;DF;38412.72
2024-07-27;31;da Paz;SP;38659.87
2025-01-25;21;Pereira;RR;36900.24
2024-05-09;21;Correia S.A.;MG;40459.1
2023-05-07;32;das Neves;DF;29209.74
2023-05-29;32;Dias;MA;20479.85
2023-04-03;33;Barros;RR;42926.6
2025-01-31;32;Cunha;PI;47991.53
2024-11-10;31;Porto Moraes - ME;MT;11506.88
2023-09-22;31;Santos;PE;45580.4
2025-03-16;31;da Costa S.A.;PE;10942.7
2024-04-15;21;Nascimento;RR;47916.78
2024-11-11;31;Martins;MA;16594.91
2024-02-03;11;Moura;CE;42781.02
2023-07-10;31;Gomes;AM;38623.28
2023-05-26;31;Correia Fernandes - EI;DF;23750.37
2023-05-22;21;Lopes - EI;ES;2251.31
2025-02-15;21;Campos;PE;18240.48
2023-05-01;32;Farias;RJ;26941.94
2025-03-14;32;Teixeira;AC;11744.84
2024-11-29;32;Silveira;MS;48587.18
2023-09-16;32;Teixeira;BA;1513.63
2024-06-26;32;Correia;SE;5432.14
2023-07-10;11;Caldeira Oliveira - EI;MG;12548.41
2024-08-15;22;da Mota;AL;46631.58
2023-10-26;21;das Neves;RR;31060.85
2024-07-02;21;Novaes;MT;48704.42
2024-06-22;11;Ramos;PE;30255.25
2024-11-13;22;Farias;AP;19098.53
2025-02-23;31;da Costa;CE;3895.24
2024-01-17;33;Cunha S/A;RN;31454.08
2024-01-02;31;Moura Ferreira S/A;PA;10868.62
2024-03-04;22;Caldeira Ltda.;SC;13807.58
2023-10-10;11;Peixoto;GO;284.41
2023-12-09;32;Costa;SE;26354.8
2024-11-17;32;Teixeira Ribeiro - ME;ES;36605.4
2023-09-26;22;Costela;SC;21954.02
2023-12-11;32;Alves;AL;644.59
2024-08-02;32;Castro Dias Ltda.;GO;43848.2
2025-01-12;21;Lima S.A.;RS;15139.3
2025-03-26;22;da Costa Fogaça e Filhos;MS;11197.36
2024-10-23;33;Silveira S.A.;SC;7580.91
2023-04-25;22;da Rocha Alves - EI;PR;28279.71
2024-06-10;33;Correia S.A.;PI;41405.86
2024-04-23;31;Santos;MA;16265.75
2024-01-03;31;Nascimento S/A;AM;13464.6
2023-12-22;31;Teixeira;MT;33920.82
2024-05-25;11;Monteiro - EI;MS;44034.49
2024-06-30;33;Gomes - EI;RN;5127.78
2024-11-26;12;Martins;AP;11939.34
2024-10-25;33;da Rosa Aragão - EI;RO;39683.62
2024-01-17;33;Nascimento S.A.;RS;48569.87
2024-10-27;22;Oliveira Oliveira e Filhos;PA;14254.81
2024-03-23;33;Rezende;GO;662.16
2025-01-04;22;da Cunha Ltda.;RS;28418.89
2024-12-08;22;Correia da Mata - ME;TO;19140.95
2023-05-30;22;Caldeira;RO;39344.99
2024-04-14;11;Lima;PB;1945.64
2023-06-27;22;Melo;PA;25284.93
2025-03-12;32;da Mota;SE;14937.94
2025-03-01;33;Rocha Souza S/A;RN;18135.67
2024-10-27;12;Dias;SE;35562.07
2025-01-15;11;da Cunha e Filhos;SC;35724.96
2024-05-05;12;Cardoso;CE;31366.28
2025-01-08;21;Pinto Costa e Filhos;RS;40942.07
2023-11-23;21;Pires e Filhos;RJ;1048.87
2024-10-15;21;Cunha;RO;28946.46
2023-12-02;11;Nascimento da Cunha - EI;MG;11345.57
2024-04-26;11;Costa Nunes S.A.;SE;4490.2
2023-12-19;32;Costela;PA;41265.87
2024-08-20;31;Souza e Filhos;BA;15118.15
2023-12-27;22;Oliveira da Costa S.A.;PE;5156.13
2024-06-28;12;da Mata Mendes Ltda.;DF;6289.72
2023-11-27;21;Cunha Ribeiro - EI;GO;18922.28
2024-05-17;21;Moura;DF;18347.29
2024-06-14;32;Pinto;MS;23643.43
2023-12-03;32;da Mata - EI;AP;40973.9
2025-01-14;33;Fernandes S/A;AM;25937.89
2023-11-13;22;da Costa - ME;PE;35830.32
2023-12-22;21;Moraes Gonçalves Ltda.;SE;8876.52
2024-09-27;21;Santos Ramos S.A.;SP;24839.27
2023-12-25;32;Barros;AC;33254.42
2023-09-18;22;Carvalho Barbosa S/A;PI;39463.43
2024-04-02;33;Cavalcanti;AP;34946.77
2024-12-19;32;Caldeira S/A;AC;49766.75
2025-02-26;22;Vieira Ribeiro S/A;RN;19313.16
2024-11-12;21;Pereira;AC;8894.83
2023-06-01;31;Costa S.A.;RR;41088.68
2024-07-21;31;Jesus;ES;41142.86
2025-01-20;21;da Costa;AL;33037.5
2024-05-08;33;Almeida Ferreira S.A.;MG;13833.8
2023-07-20;12;Nascimento;RO;25030.72
2025-01-29;22;Ramos - EI;TO;7795.27
2023-07-02;21;Souza;SC;4492.67
2024-09-25;22;Rodrigues;PB;15141.55
2023-07-30;31;Farias e Filhos;PI;48564.8
2023-05-11;11;Lima Oliveira S/A;PR;20534.26
2023-05-09;11;Aragão;RN;37965.05
2023-09-16;11;Peixoto;PI;41173.77
2024-10-21;21;Pinto Silva S/A;SC;24644.76
2023-06-04;33;da Cunha - EI;PI;1907.16
2023-12-10;12;Oliveira Melo S.A.;AP;5228.14
2024-05-20;31;da Conceição;AL;49097.51
2024-09-29;31;da Mota;PE;1659.43
2024-10-26;32;da Mota Moura - ME;SC;29580.88
2023-04-18;33;Lima da Rocha Ltda.;SE;18977.61
2023-09-02;11;Porto Silveira Ltda.;MG;8129.65
2023-07-27;11;Nunes Ltda.;GO;23678.36
2024-02-21;12;Pires;BA;14391.71
2023-06-15;11;Cardoso;MA;3681.29
2025-01-25;22;da Rocha;RJ;14952.8
2024-09-07;22;Costela;PR;27714.82
2023-04-08;22;Cardoso;PR;26203.82
2023-04-20;32;Pires Rodrigues Ltda.;RJ;672.45
2024-09-22;33;Moreira;PR;28377.58
2023-10-24;31;Almeida Correia Ltda.;TO;38147.7
2024-09-02;12;Souza Fernandes - EI;PB;12533.56
2024-03-24;32;Correia - EI;AL;18516.47
2023-12-31;12;Moraes Rezende e Filhos;AM;17837.01
2024-12-06;22;Mendes;AP;41048.85
2024-01-06;21;Martins;PB;20982.08
2023-09-19;31;da Mata - ME;SE;15624.23
2024-12-23;33;Duarte;GO;29777.12
2025-01-06;21;Moura Campos S.A.;PI;47298.36
2024-06-27;33;Ribeiro;DF;12105.24
2023-04-28;31;Nascimento - ME;RO;31773.14
2024-08-27;21;Santos;AM;45333.12
2023-05-05;12;Fogaça S.A.;PA;16456.08
2025-03-23;33;Duarte;CE;34876.28
2023-08-28;33;Nunes e Filhos;MT;34326.58
2024-04-24;12;Lopes Lima S/A;MA;19747.9
2024-05-27;11;Gomes - ME;SP;32062.98
2024-04-15;11;Cavalcanti;PA;45261.1
2024-08-31;22;Moura - EI;AM;33468.58
2025-03-08;22;Costa;MS;8769.36
2024-12-04;11;Carvalho;PA;21960.42
2025-02-11;11;da Mota Mendes - EI;DF;24692.73
2024-02-03;32;Aragão;TO;37214.51
2024-08-04;32;Teixeira Ltda.;RJ;2823.54
2024-12-09;11;Castro Cardoso Ltda.;TO;8967.09
2023-04-17;22;Cavalcanti;SE;48890.86
2024-09-09;11;Melo Jesus - EI;AC;20325.92
2024-10-18;22;da Luz;RO;332.23
2023-12-01;33;da Costa;RO;17927.88
2024-12-15;33;Carvalho da Costa e Filhos;PI;48775.55
2024-12-23;33;Mendes - ME;CE;30652.59
2023-09-21;21;Carvalho - ME;RN;23284.47
2024-04-05;31;Aragão;ES;40790.6
2025-02-05;32;Melo;GO;31832.06
2024-01-30;12;Fernandes;RN;9605.31
2023-11-01;12;Rocha S.A.;PA;32067.64
2023-08-10;21;Melo;PI;2704.01
2024-10-06;12;Ramos;SP;34889.84
2024-04-17;11;Cunha;RJ;3324.44
2023-12-06;21;Rezende;AC;11181.93
2024-04-02;11;Gonçalves;AL;49068.0
2023-12-15;31;Pinto Pinto S/A;AL;32667.99
2023-06-08;22;das Neves Silveira S.A.;MA;38751.57
2025-01-03;31;Pereira;BA;49269.68
2023-10-03;12;Aragão Souza - ME;MT;354.47
2023-11-07;22;Peixoto;PR;26324.06
2023-12-03;31;Fernandes - EI;SE;49398.71
2024-12-16;21;Ferreira Vieira S/A;PA;17637.99
2023-05-27;33;da Cunha Carvalho S.A.;GO;4684.37
2023-03-31;31;Azevedo - ME;GO;39853.23
2023-11-17;21;Barbosa da Mota S/A;DF;9321.05
2024-11-19;22;Martins e Filhos;RN;10734.31
2024-08-20;12;Teixeira;PR;11037.47
2023-11-19;12;da Paz;AC;14357.35
2024-04-09;21;Lopes - ME;RJ;7029.49
2023-10-27;11;Teixeira Rocha S/A;AC;41293.55
2024-02-15;32;Alves da Paz - ME;TO;49768.02
2023-04-04;11;Rezende;SC;47300.72
2023-06-29;31;Lima;SC;47177.72
2023-07-16;22;Pinto;ES;25655.37
2024-08-27;21;Cavalcanti Rocha e Filhos;GO;8870.62
2024-08-06;21;da Conceição;PB;31124.64
2024-04-07;31;da Luz S/A;AL;27599.59
2024-07-24;32;Nunes Ribeiro - EI;SC;31692.18
2024-10-08;21;Barbosa Almeida S/A;AC;14849.1
2024-02-15;12;da Rosa;MS;25075.37
2025-03-15;31;Azevedo;TO;5548.75
2024-04-04;33;Cavalcanti;SC;9325.41
2024-11-04;21;Lopes e Filhos;MA;3830.75
2024-01-31;22;Novaes;AL;41630.53
2024-01-20;11;Moraes Dias e Filhos;PE;3750.75
2024-01-19;33;Dias;SE;3607.08
2024-04-13;31;da Mata Farias S.A.;RJ;49301.74
2024-02-09;21;Nunes;AC;3228.05
2024-05-29;21;Nunes S.A.;AC;12924.03
2024-12-08;21;da Mota;RJ;3208.73
2024-05-18;31;Cavalcanti;TO;23714.5
2023-04-16;22;Caldeira - EI;AL;29235.01
2025-03-21;21;Porto;PE;8374.05
2024-12-16;22;Ferreira;AM;47212.66
2024-11-06;33;Alves;PB;49658.37
2023-10-08;32;Fernandes S.A.;PA;49000.42
2023-07-27;33;Pereira - EI;MG;35219.97
2023-07-06;12;Novaes;BA;25689.37
2024-08-19;33;Vieira S/A;TO;38284.63
2024-08-15;32;Nogueira;DF;17832.48
2024-10-31;21;Aragão Ramos Ltda.;ES;35745.03
2024-07-15;22;Nogueira Aragão - EI;PI;5038.85
2023-11-25;33;Vieira - ME;AL;49097.56
2024-02-27;11;da Rosa;RR;437.55
2023-06-14;33;Pires S/A;DF;26752.32
2024-03-03;22;Pinto S.A.;AP;32507.04
2024-01-01;31;das Neves Ltda.;AC;15600.03
2023-09-11;22;Viana;SE;42400.14
2023-10-01;12;Cunha S/A;RR;37843.68
2024-12-28;12;Cardoso;SP;12159.9
2023-06-16;11;Almeida Aragão Ltda.;SE;35812.41
2023-12-02;33;Souza S/A;MG;14662.58
2025-03-22;21;da Rocha Rodrigues S/A;RS;34146.57
2025-02-07;32;Silveira;PB;21314.13
2025-02-05;32;da Cunha;AL;26592.17
2023-09-09;32;Duarte S/A;AM;48342.41
2024-12-11;31;Santos da Cruz Ltda.;AM;18073.85
2023-07-31;31;Duarte;BA;22430.05
2024-03-19;32;Cavalcanti Teixeira Ltda.;TO;40352.36
2023-05-20;21;da Paz;MG;20293.4
2023-07-22;33;da Cruz e Filhos;GO;38269.12
2023-06-23;31;Pinto Ltda.;PE;19152.72
2024-03-27;21;Martins e Filhos;BA;22554.29
2024-09-20;33;Pires Araújo S.A.;SE;33351.28
2023-09-05;11;Aragão S/A;RR;4651.92
2023-07-08;33;Carvalho Almeida e Filhos;ES;1481.71
2024-03-09;22;Ramos S.A.;RR;44058.15
2024-02-23;22;Rezende;AL;11183.23
2025-02-16;21;Correia Ltda.;PA;16006.25
2024-01-22;22;Lima Rezende Ltda.;AC;14751.97
2024-08-15;12;Gomes;PR;48766.03
2023-06-19;31;Sales;PR;40508.45
2023-08-14;21;da Cruz;AL;2783.04
2024-06-06;31;da Conceição Ribeiro e Filhos;AM;34598.21
2024-10-03;11;da Conceição Duarte S/A;MG;18992.28
2023-10-04;33;Pires Ltda.;AC;49910.28
2023-12-10;11;Campos;AP;7494.94
2023-11-21;11;da Luz;PR;32016.12
2023-08-06;32;Duarte;PE;27509.42
2025-02-12;11;Lima;SP;20094.4
2024-12-15;31;Almeida Nascimento S/A;AM;2784.54
2023-11-18;12;Farias Rocha Ltda.;AL;38161.92
2023-03-31;22;Lima S/A;DF;27886.32
2024-02-15;33;Caldeira;GO;24042.93
2024-10-07;33;Viana Rocha - EI;MA;29043.74
2023-04-15;32;da Cruz;SP;40687.76
2024-01-30;31;Dias;SC;32256.78
2023-10-18;31;Duarte;AL;26797.83
2024-07-02;32;da Mata S.A.;AC;13531.1
2025-02-12;33;Carvalho;RS;11902.57
2024-07-17;32;Ferreira;SE;30881.14
2023-07-20;11;Dias Cunha - ME;MG;6963.13
2023-04-02;32;Correia - ME;RR;8543.25
2024-02-24;32;da Cruz Porto - EI;RJ;27043.98
2023-07-04;32;Farias S.A.;PB;10818.02
2024-07-18;33;Rezende - ME;PE;1148.03
2023-10-09;32;Araújo;GO;2796.63
2024-04-09;12;Alves;RR;42171.73
2024-09-27;33;Ramos da Cunha - ME;AP;15187.17
2024-02-20;22;Caldeira Moura - EI;PB;46217.96
2023-08-25;33;Ribeiro;AL;15952.85
2024-07-26;22;Rezende Silva - ME;PR;31451.41
2024-09-21;31;Alves - ME;PB;30045.11
2023-07-13;12;Fernandes;RS;39787.42
2025-01-21;33;Duarte Barbosa Ltda.;DF;11261.61
2024-02-04;12;Gonçalves Sales S.A.;ES;1331.82
2025-03-02;11;Pereira;RN;9318.22
2024-01-01;22;Martins;AC;14738.4
2024-11-28;11;das Neves;RN;17834.81
2024-02-25;31;Silva;ES;22322.61
2024-05-15;12;Lima Silveira S.A.;AC;10849.61
2024-07-23;33;Cardoso;RO;272.36
2023-12-28;12;Novaes;AC;33358.95
2024-05-26;33;Cardoso;PE;29731.1
2024-02-08;22;Nunes Araújo Ltda.;TO;42272.02
2025-03-08;12;Gonçalves;RS;7468.14
2023-09-11;31;Pires Barbosa S/A;TO;7745.37
2024-05-19;12;Santos Moreira Ltda.;AL;6272.53
2024-12-03;33;Teixeira - ME;RS;655.81
2024-12-21;33;Lima Campos Ltda.;RR;4571.24
2024-08-12;32;Nogueira S/A;PI;28969.23
2024-03-16;33;Azevedo;AL;43904.47
2025-03-12;11;Caldeira Ltda.;SC;32173.91
2023-09-24;32;Lima Mendes Ltda.;MG;1291.85
2023-06-13;33;Cardoso;PA;24933.58
2024-05-15;32;Gonçalves;RO;18003.51
2025-03-27;31;Melo;AC;35602.17
2023-07-23;31;Jesus;BA;32621.6
2023-08-03;22;da Mota;SP;13077.1
2023-06-10;11;Alves - ME;RN;40614.35
2025-03-06;11;Vieira;MS;19985.72
2024-06-16;31;Gonçalves;AP;15629.38
2024-10-06;33;Barbosa - EI;SE;27351.1
2024-04-03;22;Moreira Costa - ME;PB;20992.54
2024-01-18;33;Rocha da Luz S/A;ES;39671.91
2024-12-03;11;Santos S.A.;AC;7593.0
2024-08-25;31;da Paz Ltda.;PR;3066.64
2023-11-22;33;Pires;PE;3469.96
2024-04-07;33;Dias;MG;41040.7
2025-03-25;12;Rezende;PE;17704.91
2023-10-03;12;Campos S/A;PR;30651.06
2024-10-13;32;Dias;MT;27224.27
2024-11-06;33;Gonçalves;GO;3280.63
2024-08-21;12;Silveira Rezende e Filhos;RN;22613.36
2023-10-09;32;Gomes;RJ;40568.22
2023-07-26;21;Cardoso - EI;AP;11948.31
2025-03-01;21;Gomes S.A.;RO;47776.16
2023-08-11;33;Nogueira - EI;AC;2542.8
2025-01-25;12;Lima Monteiro - EI;MA;18091.04
2023-12-22;21;da Costa Peixoto Ltda.;RJ;15803.55
2023-04-03;33;Cardoso - EI;TO;30734.25
2023-10-19;22;Cunha;PA;5659.58
2023-06-04;21;Moreira;MT;9742.95
2023-06-05;22;Fogaça;RO;48908.78
2024-12-26;21;Pereira S/A;RR;27852.3
2024-09-04;11;da Mata das Neves S.A.;PR;13506.3
2024-10-11;12;Correia Nunes S/A;PI;25860.9
2023-08-02;21;Nascimento Souza - EI;TO;20506.48
2023-09-24;31;Martins Duarte Ltda.;AC;46089.12
2023-06-14;22;Gomes;SP;7623.85
2024-11-04;21;Teixeira Alves Ltda.;RN;32234.99
2025-01-10;12;da Rosa;SE;12751.27
2023-04-15;32;Barros Vieira Ltda.;SE;5446.34
2023-12-17;32;Fogaça;PB;18441.77
2023-08-20;22;Ferreira;ES;4729.62
2023-08-04;11;da Mata;RN;40770.31
2024-08-06;33;Fogaça;RS;18644.54
2024-12-05;22;da Cruz - ME;BA;8834.8
2024-09-08;31;da Rocha - EI;RN;46375.61
2023-05-13;12;da Mata;TO;29995.43
2025-01-17;31;Rezende da Luz - EI;RO;48908.32
2023-07-04;33;Lima;PE;10723.86
2024-02-22;33;Caldeira;RN;41796.49
2023-07-14;21;Castro - EI;AP;4079.52
2023-11-21;21;Rodrigues - EI;AM;18688.46
2023-04-07;11;da Rosa;DF;4003.04
2023-05-02;21;Caldeira;AL;44319.37
2024-11-29;12;Alves S.A.;DF;12133.18
2024-09-18;22;Almeida;PI;5034.67
2024-06-23;12;Gomes;SP;12419.66
2023-06-01;12;Monteiro;BA;40796.22
2023-10-10;11;Lopes;AC;15426.28
2024-04-13;21;Costela;RJ;35181.83
2024-06-19;12;Cardoso Ribeiro - EI;DF;26109.04
2025-02-13;32;Gonçalves;CE;39107.09
2023-06-23;31;Cardoso - EI;AC;20844.53
2024-01-17;33;Nascimento Sales S/A;SP;21313.68
2024-02-09;12;Moraes;RN;48937.53
2023-10-03;22;Mendes e Filhos;BA;41603.75
2024-05-07;33;da Cruz Fogaça e Filhos;GO;10370.42
2025-03-12;11;Dias da Paz S/A;AL;30759.92
2023-07-26;22;Pereira Fogaça e Filhos;RS;6989.8
2025-01-14;32;Silveira;RJ;34003.01
2024-05-19;22;Cavalcanti - EI;AP;42092.21
2024-11-04;11;Rodrigues Gomes - ME;PA;24025.1
2025-02-13;21;Nunes;SE;6948.87
2024-04-16;33;Viana Barbosa e Filhos;MA;10022.1
2023-08-17;12;da Conceição;PR;47336.85
2024-02-28;21;Ribeiro;AL;26878.91
2023-06-28;12;Cunha Barbosa - EI;PE;42304.27
2024-11-21;12;da Rosa;AC;48085.01
2025-02-06;33;da Rosa;GO;5494.88
2024-05-06;32;Cardoso e Filhos;AC;27189.71
2024-01-23;21;Campos;SP;15523.1
2024-03-11;12;Costela;RO;30904.65
2025-02-15;33;Gonçalves;PI;48253.6
2023-05-08;22;Santos Nascimento S/A;GO;20547.88
2023-07-19;11;Moreira Nunes Ltda.;DF;26538.68
2024-05-24;31;Souza;CE;47293.1
2024-09-18;21;Viana Ltda.;ES;11061.49
2025-01-07;32;Rodrigues;AP;20754.02
2023-10-18;21;Ribeiro Moura S/A;MS;12829.31
2023-08-07;31;Nunes;ES;14979.02
2023-11-15;32;Duarte Pires S/A;TO;12863.31
2024-03-29;22;Azevedo S.A.;TO;25880.01
2024-01-05;32;Ramos Martins - EI;MG;42617.87
2023-08-20;12;Freitas da Luz Ltda.;MA;30571.39
2023-09-05;11;da Mota;PA;37666.6
2024-09-04;11;Correia S.A.;SC;38563.47
2024-11-28;33;Barros;BA;39187.0
2024-11-20;11;Lopes Ltda.;MS;34211.35
2023-05-30;32;Castro;RO;10778.0
2024-01-03;12;Peixoto;PA;37434.36
2023-04-14;11;Mendes;AC;24800.07
2023-07-06;31;Monteiro Ltda.;MA;21195.3
2025-01-16;21;Alves;MT;132.16
2024-01-09;11;Barros Vieira S/A;RJ;16250.01
2024-12-01;12;da Mata;PA;4173.85
2025-02-12;21;da Mata;SP;47569.76
2024-02-18;11;Lopes;MS;27235.63
2024-10-11;32;Moraes Ltda.;MA;5597.46
2024-08-18;32;Nogueira;AP;18620.67
2025-03-16;11;da Rocha e Filhos;RS;39195.7
2024-06-29;31;Moreira;RJ;2542.47
2023-10-07;12;Barbosa S/A;SC;38672.17
